종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"049720","고려신용정보 ","997","1","0.10","64","15.58",,,"852","1.17","50","5.02"
"010130","고려아연 ","284000","-4000","-1.39","31693","8.96",,,"204525","1.39","5000","1.76"
"002240","고려제강 ","40200","1800","4.69","2831","14.20",,,"76201","0.53","350","0.87"
"014570","고려제약 ","3500","-35","-0.99","137","25.55",,,"4325","0.81","70","2.00"
"009810","고려포리머 ","522","-2","-0.38",,,,,"1268","0.41","0","0.00"
"009815","고려포리머우 ","450000","0","0.00",,,,,,,"0","0.00"
"098460","고영 ","26600","-400","-1.48","1743","15.26",,,"9287","2.86","200","0.75"
"001290","골든브릿지증권 ","849","0","0.00",,,,,"980","0.87","0","0.00"
"121440","골프존 ","20350","100","0.49","1997","10.19",,,"11179","1.82","1200","5.90"
"009290","광동제약 ","7000","-140","-1.96","668","10.48",,,"5075","1.38","60","0.86"
"014200","광림 ","1790","-15","-0.83","37","48.38",,,"3321","0.54","0","0.00"
"017040","광명전기 ","2175","-35","-1.58","16","135.94",,,"1314","1.66","0","0.00"
"017900","광전자 ","2205","-45","-2.00",,,,,"3625","0.61","0","0.00"
"037710","광주신세계 ","257000","1500","0.59","33606","7.65",,,"226010","1.14","1250","0.49"
"026910","광진실업 ","2280","-25","-1.08","186","12.26",,,"4502","0.51","25","1.10"
"090150","광진윈텍 ","2485","-5","-0.20","428","5.81",,,"3936","0.63","30","1.21"
"030610","교보증권 ","4595","0","0.00","306","15.02",,,"16282","0.28","50","1.09"
"053270","구영테크 ","1480","-70","-4.52","136","10.88",,,"2791","0.53","0","0.00"
"007690","국도화학 ","51700","-100","-0.19","5098","10.14",,,"56584","0.91","1000","1.93"
"005320","국동 ","1930","135","7.52","1356","1.42",,,"2350","0.82","0","0.00"
"001140","국보 ","11300","300","2.73",,,,,"32802","0.34","50","0.44"
"066620","국보디자인 ","11000","50","0.46","1111","9.90",,,"7675","1.43","200","1.82"
"043650","국순당 ","6080","10","0.16","395","15.39",,,"10474","0.58","90","1.48"
"006050","국영지앤엠 ","998","12","1.22","172","5.80",,,"1563","0.64","20","2.00"
"078130","국일제지 ","5000","0","0.00",,,,,"16384","0.31","0","0.00"
"044180","국제디와이 ","334","-9","-2.62",,,,,"402","0.83","0","0.00"
"002720","국제약품 ","1950","-20","-1.02",,,,,"3562","0.55","0","0.00"
"053740","국제엘렉트릭 ","16000","200","1.27","1194","13.40",,,"8748","1.83","400","2.50"
"019010","그랜드백화점 ","4700","35","0.75",,,,,"38441","0.12","0","0.00"
"014530","극동유화 ","24950","200","0.81","3419","7.30",,,"29629","0.84","700","2.81"
"002250","근화제약 ","24300","100","0.41",,,,,"19059","1.27","0","0.00"
"014280","금강공업 ","17150","100","0.59","2396","7.16",,,"40612","0.42","350","2.04"
"014285","금강공업우 ","12700","150","1.20",,,,,,,"400","3.15"
"053260","금강철강 ","2550","15","0.59","487","5.24",,,"4851","0.53","100","3.92"
"008870","금비 ","29200","-50","-0.17","587","49.74",,,"78735","0.37","1200","4.11"
"058370","금성테크 ","1020","50","5.15",,,,,"553","1.84","0","0.00"
"001570","금양 ","1040","-15","-1.42","110","9.45",,,"1139","0.91","35","3.37"
"002990","금호산업 ","11000","-150","-1.35",,,,,"588","18.71","0","0.00"
"002995","금호산업우 ","12700","-300","-2.31",,,,,,,"0","0.00"
"011780","금호석유 ","100000","-1000","-0.99","4959","20.17",,,"46211","2.16","2000","2.00"
"011785","금호석유우 ","35400","-1000","-2.75",,,,,,,"2050","5.79"
"130500","금호엔티 ","4560","105","2.36","642","7.10",,,"2555","1.78","0","0.00"
"001210","금호전기 ","23300","-900","-3.72",,,,,"27403","0.85","100","0.43"
"073240","금호타이어 ","11800","300","2.61","1031","11.45",,,"6418","1.84","0","0.00"
"036190","금화피에스시 ","32000","-50","-0.16","3187","10.04",,,"15384","2.08","600","1.88"
"035460","기산텔레콤 ","1935","-40","-2.03",,,,,"2043","0.95","0","0.00"
"092440","기신정기 ","7600","-130","-1.68","553","13.74",,,"6639","1.14","200","2.63"
"000270","기아차 ","59600","-800","-1.32","9546","6.24",,,"41563","1.43","650","1.09"
"024110","기업은행 ","11450","0","0.00","1766","6.48",,,"21497","0.53","400","3.49"
"004540","깨끗한나라 ","5080","0","0.00","592","8.58",,,"4738","1.07","0","0.00"
"004545","깨끗한나라우 ","5100","-40","-0.78",,,,,,,"0","0.00"
"151910","나노스 ","13950","-300","-2.11","1293","10.79",,,"3784","3.69","100","0.72"
"121600","나노신소재 ","19750","-350","-1.74",,,,,"7825","2.52","0","0.00"
"039860","나노엔텍 ","5090","-80","-1.55",,,,,"1181","4.31","0","0.00"
"091970","나노캠텍 ","4585","-15","-0.33","159","28.84",,,"4355","1.05","0","0.00"
"010670","나노트로닉스 ","920","67","7.85",,,,,"1654","0.56","0","0.00"
"051490","나라엠앤디 ","2990","15","0.50","443","6.75",,,"4845","0.62","120","4.01"
