종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"030420","인터링크 ","630","40","6.78",,,,,"0","0.00"
"017250","인터엠 ","1840","90","5.14","383","4.80",,,"0","0.00"
"035080","인터파크 ","2450","260","11.87",,,,,"0","0.00"
"014010","인터피온반도체 ","1910","245","14.71",,,"500","3.82","0","0.00"
"014015","인터피온반도체(1우) ","191000","0","0.00",,,,,"0","0.00"
"020070","인테크 ","2260","230","11.33",,,,,"0","0.00"
"020075","인테크우 ","9370","400","4.46",,,,,"0","0.00"
"033720","인투스 ","2080","80","4.00",,,,,"0","0.00"
"052290","인프론테크 ","1750","30","1.74",,,,,"0","0.00"
"045470","인피트론 ","2270","40","1.79",,,,,"0","0.00"
"036420","일간스포츠 ","700","60","9.38","73","9.59",,,"0","0.00"
"000230","일동제약 ","7900","210","2.73","2431","3.25","22418","0.35","500","6.33"
"033550","일레덱스 ","2290","230","11.17","364","6.29",,,"0","0.00"
"042870","일륭텔레시스 ","1080","110","11.34",,,,,"0","0.00"
"013360","일성건설 (락)","350","0","0.00","19","18.42","5996","0.06","0","0.00"
"003120","일성신약 ","12600","200","1.61","5741","2.19","28592","0.44","500","3.97"
"003200","일신방직 ","39700","-300","-0.75","5344","7.43","131839","0.30","2500","6.30"
"007110","일신석재 ","1730","80","4.85","82","21.10","6576","0.26","0","0.00"
"058450","일야하이텍 ","1160","70","6.42","281","4.13",,,"0","0.00"
"007570","일양약품 ","3640","40","1.11",,,"10810","0.34","0","0.00"
"007575","일양약품(1우) ","3675","85","2.37",,,,,"0","0.00"
"008500","일정실업 ","19100","100","0.53","6482","2.95","32974","0.58","1250","6.54"
"019540","일지테크 ","790","50","6.76","96","8.23",,,"0","0.00"
"010510","일진 ","2000","170","9.29",,,"3689","0.54","0","0.00"
"020760","일진다이아 ","15650","-50","-0.32","8228","1.90","31636","0.49","600","3.83"
"015860","일진전기 ","2435","215","9.68","148","16.45","4183","0.58","50","2.05"
"001590","일화모직 ","2280","295","14.86",,,"6744","0.34","0","0.00"
"049550","잉크테크 ","5150","450","9.57","606","8.50",,,"0","0.00"
"032050","자네트시스템 (락)","760","0","0.00",,,,,"0","0.00"
"043630","자원메디칼 ","2400","100","4.35","270","8.89",,,"0","0.00"
"052650","자티전자 ","4830","500","11.55","207","23.33",,,"0","0.00"
"033240","자화전자 ","8530","330","4.02","705","12.10","4495","1.90","160","1.88"
"037340","장미디어 ","4660","310","7.13","36","129.44",,,"0","0.00"
"009720","전기초자 ","59300","1400","2.42","16757","3.54","64905","0.91","2000","3.37"
"000950","전방 ","32300","4200","14.95",,,"96480","0.33","250","0.77"
"006350","전북은행 ","2410","60","2.55",,,"3773","0.64","0","0.00"
"042820","전신전자 ","1570","40","2.61","339","4.63",,,"0","0.00"
"065530","전파기지국 ","12250","750","6.52","1121","10.93",,,"0","0.00"
"033050","정문정보 ","900","40","4.65","19","47.37",,,"0","0.00"
"056850","정소프트 ","7270","770","11.85","659","11.03",,,"0","0.00"
"045510","정원엔시스템 ","1280","50","4.07","265","4.83",,,"0","0.00"
"065310","정호코리아 ","3150","210","7.14","1102","2.86",,,"0","0.00"
"048130","제네틱스 ","3140","330","11.74","307","10.23",,,"0","0.00"
"033100","제룡산업 ","1840","0","0.00","231","7.97",,,"0","0.00"
"036760","제이스텍 ","480","50","11.63",,,,,"0","0.00"
"033320","제이씨현 ","920","60","6.98",,,,,"0","0.00"
"054790","제이엠피 ","1010","60","6.32","167","6.05",,,"0","0.00"
"060750","제이콤 ","1740","180","11.54","212","8.21",,,"0","0.00"
"030000","제일기획 ","94200","1100","1.18","7957","11.84","53360","1.77","1500","1.59"
"001300","제일모직 ","15650","100","0.64","1221","12.82","16953","0.92","550","3.51"
"052670","제일바이오 ","1330","110","9.02","57","23.33",,,"0","0.00"
"002620","제일약품 ","21300","-300","-1.39","7771","2.74","47794","0.45","700","3.29"
"053330","제일엔테크 ","1810","160","9.70","390","4.64",,,"0","0.00"
"000110","제일은행 (락)","2645","0","0.00","1143","2.31","7679","0.34","0","0.00"
"024100","제일저축은행 ","2700","15","0.56","1091","2.47","11167","0.24","0","0.00"
"023440","제일제강 ","1540","90","6.21","27","57.04",,,"0","0.00"
"026540","제일창투 ","2390","50","2.14","865","2.76",,,"0","0.00"
"037550","제일컴테크 ","3700","390","11.78","292","12.67",,,"0","0.00"
"038010","제일테크노스 ","4690","10","0.21","759","6.18",,,"0","0.00"
"000610","제일화재 ","1445","100","7.43","723","2.00","4210","0.34","0","0.00"
"006220","제주은행 ","3950","445","12.70","105","37.62","5930","0.67","0","0.00"
"038500","젠네트웍스 ","1460","60","4.29","246","5.93",,,"0","0.00"
"044060","조광ILI ","1900","70","3.83","268","7.09",,,"0","0.00"
"004910","조광페인트 ","1670","80","5.03","272","6.14","3431","0.49","125","7.49"
"004700","조광피혁 ","5370","150","2.87",,,"10163","0.53","0","0.00"
